time,ip,country,city,org,actions
"12/08/2026, 9:23:03 am","107.189.7.144","CH","Zürich","AS53667 FranTech Solutions","visited|name:Fatima|ad-popup|ad-waited|ad-continued|shops|shop-no-ad|more-bottom|smartlink"
"12/08/2026, 9:27:09 am","185.181.61.203","NO","Sandefjord","AS56655 Gigahost AS","visited|name:Omar|ad-popup|ad-waited|ad-continued|shops|shop-no-ad|more-bottom|smartlink"
